id,doctor_username,facility_id,notes,day_of_week,open_time,close_time,break_start_time,break_end_time,slot_duration_minutes,max_patients,consultation_fee,created_at,updated_at
1,doc001,1,Jadwal dokter Andi,monday,08:00:00,14:00:00,12:00:00,13:00:00,30,12,150000.00,2026-04-01 08:00:00,2026-04-01 08:00:00
2,doc002,2,Jadwal dokter Budi,tuesday,09:00:00,15:00:00,12:00:00,13:00:00,30,10,200000.00,2026-04-01 09:00:00,2026-04-01 09:00:00
3,doc003,3,Jadwal dokter Citra,wednesday,10:00:00,16:00:00,12:30:00,13:30:00,45,8,250000.00,2026-04-02 10:00:00,2026-04-02 10:00:00
4,doc004,4,Jadwal dokter Dewi,thursday,08:00:00,14:00:00,11:00:00,12:00:00,30,15,180000.00,2026-04-02 11:00:00,2026-04-02 11:00:00
5,doc005,5,Jadwal dokter Eko,friday,09:00:00,15:00:00,12:00:00,13:00:00,30,12,220000.00,2026-04-03 08:00:00,2026-04-03 08:00:00
6,doc006,6,Jadwal dokter Fajar,saturday,08:00:00,12:00:00,,,20,12,100000.00,2026-04-03 09:00:00,2026-04-03 09:00:00
7,doc007,7,Jadwal dokter Gita,monday,13:00:00,18:00:00,15:00:00,16:00:00,45,6,300000.00,2026-04-04 10:00:00,2026-04-04 10:00:00
8,doc008,8,Jadwal dokter Hendra,tuesday,10:00:00,16:00:00,12:30:00,13:30:00,30,10,175000.00,2026-04-04 11:00:00,2026-04-04 11:00:00
9,doc009,9,Jadwal dokter Indah,wednesday,14:00:00,19:00:00,16:00:00,17:00:00,30,10,275000.00,2026-04-05 08:00:00,2026-04-05 08:00:00
10,doc010,10,Jadwal dokter Joko,thursday,08:00:00,14:00:00,11:30:00,12:30:00,30,12,190000.00,2026-04-05 09:00:00,2026-04-05 09:00:00
